Language,Idiom,Count,Frequency_Per_Million
en,wild goose chase,281,12.48
en,count your chickens,49,2.18
en,wolf in sheep,76,3.38
en,black sheep,148,6.57
en,hold your horses,235,10.44
en,beat a dead horse,286,12.70
en,dark horse,82,3.64
en,cows come home,7864,349.31
en,bull by the horns,656,29.14
en,bull in a china shop,52,2.31
en,pig in a poke,33,1.47
en,when pigs fly,745,33.09
en,needle in a haystack,174,7.73
en,last straw,145,6.44
en,make hay,46,2.04
en,wheat from the chaff,59,2.62
en,reap what you sow,119,5.29
en,grist for the mill,3492,155.11
en,run of the mill,297,13.19
en,sitting duck,269,11.95
en,chicken out,514,22.83
en,headless chicken,13,0.58
en,eggs in one basket,269,11.95
en,walking on eggshells,1496,66.45
en,kill the goose,26,1.15
tr,damlaya damlaya göl,274,6.09
tr,sakla samanı,20,0.44
tr,dereyi görmeden,102,2.27
tr,görünen köy,41,0.91
tr,komşu komşunun,768,17.07
tr,tatlı dil yılanı,1142,25.39
tr,aç ayı oynamaz,642,14.27
tr,besle kargayı,8,0.18
tr,kaz gelecek yerden,646,14.36
tr,atı alan üsküdar,434,9.65
tr,eşeğin aklına karpuz,3,0.07
tr,pirince giderken,7,0.16
tr,kurt dumanlı havayı,8,0.18
tr,sütten ağzı yanan,24,0.53
tr,üzüm üzüme baka,83,1.85
tr,tavşan dağa küsmüş,2,0.04
tr,horoz ölür,2,0.04
tr,el elin eşeğini,84813,1885.31
tr,it ürür kervan,6,0.13
tr,meyve veren ağaç,283,6.29
tr,bal tutan,75,1.67
tr,keskin sirke,10,0.22
tr,öküz öldü,31,0.69
tr,çam sakızı çoban,29,0.64
tr,ayıkla pirincin,18,0.40
de,hund begraben,51,2.27
de,katze im sack,808,35.89
de,schwarze schaf,215,9.55
de,geschenkten gaul,32,1.42
de,ist mir wurst,43,1.91
de,schwein haben,469,20.83
de,flinte ins korn,39,1.73
de,eulen nach athen,89,3.95
de,stier bei den hörnern,89,3.95
de,hahn im korb,175,7.77
de,schwalbe macht keinen sommer,5,0.22
de,mit den hühnern schlafen,3807,169.11
de,blindes huhn,27,1.20
de,perlen vor die säue,74,3.29
de,elefant im porzellanladen,163,7.24
de,gras wachsen hören,91,4.04
de,ins gras beißen,268,11.90
de,pferde stehlen,29,1.29
de,blatt vor den mund,430,19.10
de,steppt der bär,15,0.67
de,ochs am berg,405,17.99
de,radieschen von unten,1394,61.92
de,tomaten auf den augen,4091,181.72
de,höhle des löwen,332,14.75
de,korn und spreu,1,0.04
fr,nos moutons,191,4.57
fr,poules auront des dents,128,3.06
fr,peau de l'ours,7839,187.70
fr,avoir le cafard,39,0.93
fr,chèvre et le chou,21,0.50
fr,charrue avant les boeufs,87,2.08
fr,raconter des salades,1775,42.50
fr,tomber dans les pommes,74,1.77
fr,carottes sont cuites,163,3.90
fr,sur le champignon,317,7.59
fr,aiguille dans une botte,295,7.06
fr,vache à lait,2504,59.96
fr,taureau par les cornes,388,9.29
fr,vole un oeuf,26,0.62
fr,un tiens vaut mieux,14185,339.65
fr,fouetter un chat,244,5.84
fr,confiture aux cochons,165,3.95
fr,faim de loup,167,4.00
fr,faire l'autruche,151382,3624.75
fr,doux comme un agneau,888,21.26
fr,poule aux oeufs,822,19.68
fr,chair de poule,1014,24.28
fr,sur ses grands chevaux,208,4.98
fr,poser un lapin,135,3.23
fr,dindon de la farce,80,1.92
es,pájaro en mano,148,2.41
es,como una cabra,930,15.14
es,otro perro con ese hueso,1826,29.72
es,no por mucho madrugar,17307,281.72
es,oveja con su pareja,1015,16.52
es,casa por la ventana,59127,962.44
es,boca cerrada no entran,579,9.42
es,camarón que se duerme,2053,33.42
es,gato por liebre,2020,32.88
es,agua a su molino,11557,188.12
es,carne en el asador,42,0.68
es,ser pan comido,4281,69.68
es,toro por los cuernos,1060,17.25
es,burro grande,26,0.42
es,margaritas a los cerdos,2618,42.61
es,dos pájaros de un tiro,1434,23.34
es,ojos que no ven,149626,2435.55
es,perro ladrador,46,0.75
es,siembra vientos,9,0.15
es,oveja negra,430,7.00
es,memoria de pez,21,0.34
es,vendérsela la moto,0,0.00
es,aguja en un pajar,563,9.16
es,gallina de los huevos,377,6.14
es,gato encerrado,177,2.88
